NAME;POP87;BIRTH;MORTALITY;GROWTH;POP00;POP20;INFANT_MORTALITY;FERTILITY;AGE15;AGE65;EXPECTANCY;URBAN;ENERGY;GNP;SURFACE;CULTURE;PASTURAGE;FOREST
CANADA;25.9;15;7;0.8;27.9;29.3;7.9;1.7;22;10;76;76;288;13670;9976141.28;5;2;33
CAPE VERDE;0.3;35;8;2.6;0.5;0.7;76.5;5.1;46;6;60;27;6;430;4030.04;10;6;0
CENTRAL AFRICAN REPUBLIC;2.7;44;19;2.5;3.8;5.9;142;5.9;43;4;43;42;1;270;622980.47;3;5;58
CHAD;4.6;43;23;2;6.3;9.5;143;5.9;44;2;43;27;1;88;1284000.27;2;35;10
CHILE;12.4;22;6;1.6;14.8;17.7;19.5;2.4;32;6;68;83;27;1440;756950.81;7;16;20
CHINA;1062;21;8;1.3;1200;1361;61;2.4;28;5;66;32;19;310;9596960.1;11;30;14
COLOMBIA;29.9;28;7;2.1;38;49.3;48;3.1;36;3;65;65;25;1320;1138911.06;5;26;44
COMOROS;0.4;47;14;3.3;0.7;1.3;91;7;47;3;52;23;2;280;1797.46;43;7;16
CONGO;2.1;47;13;3.4;3.2;5.9;112;6.8;46;3;55;48;3;1020;341999.14;2;29;62
COSTA RICA;2.8;31;4;2.7;3.7;5;18.9;3.5;35;4;74;48;13;1290;50699.25;13;43;31
COTE D'IVOIRE;10.8;46;15;3;17.3;32.1;105;6.7;46;3;52;43;6;620;322460.18;12;9;24
CUBA;10.3;18;6;1.2;11.4;12.5;16.5;1.8;27;8;73;71;43;2700;110859.77;29;22;17
CYPRUS;0.7;20;9;1.1;0.8;0.9;12;2.5;25;11;74;53;56;3790;9248.89;47;10;18
CZECHOSLOVAKIA;15.6;15;12;0.3;16.2;16.8;14;2.1;24;11;71;74;183;8280;127870.89;40;13;36
DENMARK;5.1;11;11;-0.1;5;4.7;7.9;1.4;18;15;75;84;133;11240;43069.11;61;5;11
DJIBOUTI;0.3;43;18;2.5;0.4;0.7;132;6.5;46;3;47;74;8;760;21999.46;0;9;0
